Insercao,NumeroInserido,Comp_BST,Comp_AVL
1,15090,0,0
2,5013,2,2
3,19361,2,2
4,13710,4,4
5,31175,4,4
6,16016,4,4
7,13708,6,6
8,21375,6,6
9,14368,6,6
10,14660,8,8
11,10607,8,6
12,15387,6,6
13,24770,8,8
14,2616,4,6
15,32583,6,8
16,25783,10,8
17,23492,10,8
18,24821,12,10
19,12554,10,8
20,1473,6,8
21,19686,8,8
22,11018,12,10
23,11160,14,10
24,30700,12,8
25,3108,6,8
26,31315,8,8
27,11247,16,10
28,27789,14,10
29,3211,8,10
30,8315,10,10
31,31903,10,10
32,1349,8,10
33,9548,12,12
34,9152,14,12
35,10111,14,12
36,3809,10,12
37,28943,16,12
38,28918,18,12
39,28573,20,12
40,25470,14,12
41,14217,8,10
42,28367,22,12
43,10107,16,12
44,14321,10,12
45,5457,12,12
46,22105,12,10
47,14200,10,12
48,22630,14,12
49,21999,14,12
50,29896,18,10
51,26764,16,12
52,6214,14,14
53,13366,12,10
54,14966,10,12
55,18232,6,8
56,31071,14,10
57,29909,20,12
58,15144,8,10
59,12989,14,12
60,20031,10,12
61,3880,12,14
62,915,10,12
63,23520,12,12
64,22612,16,12
65,26655,18,14
66,15359,10,12
67,16011,8,12
68,25746,16,14
69,12522,18,12
70,31302,10,12
71,5622,16,14
72,4811,14,14
73,18192,8,12
74,6820,16,12
75,15536,10,12
76,30310,22,14
77,18218,10,14
78,731,12,14
79,3774,12,12
80,4958,16,14
81,7444,18,14
82,18405,8,14
83,903,14,14
84,8343,16,12
85,3316,14,14
86,8932,18,14
87,7917,20,14
88,17522,10,12
89,19831,12,14
90,12892,16,10
91,32189,12,12
92,32671,8,12
93,5982,18,14
94,23456,16,12
95,329,14,12
96,14898,12,14
97,20026,14,14
98,24714,14,12
99,24147,16,14
100,9977,18,14
101,9843,20,16
102,32111,14,14
103,4909,18,14
104,28941,20,12
105,27791,24,12
106,9042,20,14
107,2335,8,14
108,26536,20,12
109,20913,12,12
110,8792,20,14
111,25865,22,14
112,7222,20,12
113,24928,16,14
114,22652,18,14
115,19273,10,14
116,9903,22,16
117,1162,12,14
118,14468,10,14
119,6879,22,14
120,1059,14,16
121,13769,12,12
122,15668,12,14
123,25551,18,14
124,17303,12,14
125,19172,12,14
126,7361,22,14
127,7367,24,16
