Remocao,NumeroRemovido,Comp_BST,Comp_AVL
1,13004,37,31
2,784,35,29
3,28919,25,31
4,32668,25,27
5,11601,49,31
6,12082,43,29
7,192,33,25
8,24057,31,27
9,2646,23,29
10,19479,25,31
11,14715,34,27
12,968,32,25
13,11814,51,29
14,4393,35,31
15,2043,24,26
16,12641,41,27
17,849,31,30
18,31756,35,27
19,31592,45,27
20,24859,39,31
21,25436,43,29
22,26238,43,29
23,5011,31,33
24,11350,41,29
25,30648,46,29
26,13186,37,27
27,18823,35,33
28,447,45,27
29,9969,36,32
30,22461,29,29
31,1633,44,31
32,4303,39,29
33,25128,39,27
34,16672,41,29
35,31841,25,23
36,3733,29,31
37,26307,43,27
38,25031,32,33
39,5696,45,29
40,14262,29,30
41,18531,32,29
42,25121,43,29
43,28868,41,29
44,13234,31,29
45,22294,31,29
46,15954,33,29
47,4755,42,30
48,15720,25,29
49,13775,27,29
50,21205,39,30
51,22085,37,30
52,13533,37,29
53,13587,35,27
54,7270,50,34
55,15036,39,27
56,32313,30,27
57,17908,35,31
58,12063,49,29
59,3512,48,29
60,21010,34,29
61,6467,49,29
62,10465,32,32
63,9382,41,33
64,25325,43,29
65,16130,36,31
66,8949,45,29
67,6073,55,29
68,31746,38,30
69,23064,51,33
70,26355,44,26
71,13116,32,24
72,32064,25,30
73,15432,34,32
74,27363,43,29
75,4903,29,29
76,22673,41,31
77,32356,35,29
78,22691,40,31
79,7408,40,29
80,29791,37,31
81,26814,41,32
82,9353,53,29
83,19363,27,26
84,5975,37,31
85,16352,45,31
86,30536,33,27
87,565,37,29
88,16749,57,40
89,18813,34,30
90,28440,37,29
91,22550,41,29
92,5664,43,28
93,7591,54,28
94,31761,33,26
95,5125,39,31
96,15359,21,28
97,6209,31,28
98,23512,25,29
99,18728,33,31
100,21868,30,27
101,32440,33,31
102,30846,41,29
103,19036,40,30
104,30368,43,31
105,11758,57,27
106,11941,49,27
107,26570,39,26
108,15599,37,31
109,25719,37,31
110,16101,37,31
111,10939,36,31
112,27469,42,33
113,32008,33,27
114,28270,39,29
115,941,20,29
116,12306,35,28
117,11564,47,27
118,6894,45,28
119,7845,42,30
120,30714,27,27
121,7225,39,29
122,17845,35,28
123,20936,31,29
124,29296,47,29
125,26243,40,29
126,23063,50,32
127,23077,39,33
128,11020,22,27
129,24783,29,28
130,13073,40,27
131,23254,39,31
132,23642,37,30
133,12299,36,27
134,9264,27,27
135,21063,41,31
136,24541,38,28
137,2364,33,31
138,2479,33,25
139,31189,25,29
140,24403,43,33
141,11703,34,27
142,9183,42,33
143,17307,21,28
144,11067,31,29
145,30612,41,31
146,16844,29,29
147,27272,52,31
148,23189,33,31
149,2656,28,25
150,32542,33,31
151,18613,42,29
152,6121,41,31
153,31762,31,27
154,6461,45,31
155,26614,39,25
156,16266,31,31
157,2624,21,27
158,8121,48,30
159,176,41,31
160,13084,42,27
161,12179,53,31
162,1000,38,28
163,23274,40,27
164,1620,37,29
165,11641,54,27
166,19409,34,29
167,17830,33,26
168,26879,39,31
169,24089,37,29
170,27720,41,29
171,6257,45,29
172,29254,47,31
173,25228,39,29
174,3675,33,33
175,29497,53,33
176,12592,41,27
177,330,29,27
178,17389,35,31
179,12383,50,28
180,9832,39,31
181,18658,35,27
182,28577,44,29
183,15629,25,31
184,2881,23,31
185,19183,31,31
186,25594,39,31
187,19402,39,31
188,2551,41,27
189,839,30,27
190,32192,23,25
191,5451,25,29
192,19256,33,31
193,16245,38,31
194,15781,37,29
195,7052,39,27
196,31970,31,32
197,6762,35,29
198,9512,29,29
199,8992,44,32
200,13839,35,27
