Sorteio,NumeroSorteado,Comp_BST,Comp_AVL
1,12354,31,27
2,13472,29,19
3,24559,43,29
4,9016,35,31
5,32367,35,27
6,24458,45,29
7,32294,35,25
8,19960,39,31
9,18238,19,21
10,7725,41,23
11,6733,37,29
12,1937,29,27
13,11655,41,25
14,31313,21,27
15,32,33,27
16,29090,53,33
17,32254,27,27
18,14638,29,29
19,7684,45,25
20,18117,39,27
21,14180,31,31
22,4817,31,33
23,28386,41,25
24,27925,51,29
25,25338,41,29
26,30913,33,29
27,13877,35,31
28,4589,43,29
29,20795,41,27
30,12259,45,31
31,16994,45,29
32,13042,41,29
33,3786,25,31
34,16795,37,31
35,10569,37,27
36,14419,25,21
37,9642,33,25
38,2100,19,21
39,13081,35,27
40,1103,33,27
41,32429,21,27
42,23170,39,31
43,26472,53,29
44,7160,53,29
45,30511,51,31
46,6853,33,31
47,28803,39,31
48,19767,29,31
49,32515,39,27
50,11473,35,27
51,18690,25,23
52,30225,53,25
53,21166,43,31
54,5996,21,27
55,26528,41,29
56,20776,43,27
57,9683,49,29
58,21752,35,29
59,23882,39,27
60,27525,41,27
61,20975,31,29
62,5970,41,27
63,6518,45,27
64,10132,29,29
65,23879,35,25
66,761,39,29
67,18614,41,29
68,29040,47,29
69,28190,45,29
70,9587,39,29
71,397,35,29
72,2145,45,31
73,32298,35,25
74,10988,35,31
75,13185,33,21
76,420,45,27
77,25161,39,23
78,5921,39,27
79,3185,19,25
80,26730,35,31
81,31345,37,25
82,1404,25,29
83,18473,33,31
84,7970,41,33
85,7653,33,23
86,13440,37,25
87,7732,43,31
88,26107,39,27
89,6063,47,27
90,24680,49,31
91,16881,43,31
92,10917,43,31
93,18250,19,31
94,12555,35,31
95,10474,31,27
96,1368,23,29
97,14751,37,27
98,16131,35,31
99,2912,27,27
100,1816,37,29
101,20019,25,25
102,29710,39,33
103,21291,29,31
104,15671,23,25
105,15518,33,29
106,19124,31,29
107,27841,49,29
108,3611,43,31
109,3647,35,25
110,12587,33,29
111,11924,57,25
112,21314,29,29
113,24622,35,25
114,4983,25,35
115,19105,29,21
116,21634,37,27
117,370,35,27
118,20693,29,27
119,32325,35,29
120,2198,47,29
121,16756,45,29
122,8282,39,31
123,29779,39,31
124,16086,41,29
125,692,29,23
126,10456,31,31
127,3429,29,31
128,5702,39,27
129,26043,37,21
130,20481,37,25
131,623,47,29
132,26066,53,29
133,8273,35,31
134,1231,37,25
135,5530,41,31
136,31192,27,27
137,21743,27,21
138,2339,23,29
139,17743,33,25
140,19175,27,27
141,32375,39,27
142,32428,15,15
143,13713,31,27
144,4551,37,33
145,17443,39,29
146,15114,27,21
147,17297,21,21
148,23737,45,27
149,18875,25,27
150,10035,25,27
151,30588,37,29
152,2559,37,23
153,20492,43,31
154,11798,55,29
155,18584,29,31
156,19359,21,29
157,14741,39,27
158,32383,35,25
159,26511,45,29
160,6245,37,29
161,18307,31,33
162,9275,31,29
163,779,37,23
164,11815,49,27
165,8928,37,29
166,15484,27,27
167,14978,21,29
168,2380,37,31
169,1543,35,29
170,18815,31,25
171,13140,35,25
172,30095,41,27
173,6747,39,27
174,26987,43,27
175,1043,31,27
176,7169,57,27
177,24120,39,31
178,29821,29,27
179,27169,41,25
180,12877,35,31
181,10026,29,25
182,18018,37,29
183,32129,31,27
184,12096,41,25
185,5213,33,33
186,14052,41,23
187,22247,41,21
188,10377,47,27
189,1365,21,25
190,1481,33,31
191,23569,45,31
192,15805,31,21
193,26847,41,29
194,15864,33,29
195,9818,31,29
196,13470,25,23
197,30792,39,31
198,21470,27,33
199,14221,29,23
200,10908,43,29
