Sorteio,NumeroSorteado,Comp_BST,Comp_AVL
1,9022,31,13
2,1276,49,29
3,1683,29,21
4,7376,37,23
5,312,23,25
6,7289,41,25
7,7431,37,27
8,7270,41,25
9,1605,45,19
10,6461,33,25
11,6841,37,21
12,9885,29,25
13,277,29,25
14,3577,31,29
15,9295,37,21
16,9992,19,23
17,2587,31,17
18,3085,35,25
19,2992,35,15
20,1901,37,23
21,4003,31,27
22,6559,45,25
23,3749,33,25
24,5989,45,25
25,1528,43,23
26,9832,23,25
27,4746,37,25
28,569,11,21
29,5829,29,17
30,6454,25,15
31,4217,35,27
32,1202,35,27
33,4082,37,27
34,5899,23,19
35,4929,29,27
36,4393,37,27
37,9540,31,23
38,2360,35,27
39,1662,33,23
40,1144,37,27
41,5172,21,29
42,8502,37,23
43,7380,47,25
44,1800,43,27
45,8430,35,23
46,3026,35,25
47,8143,39,25
48,7368,41,21
49,6111,17,27
50,1135,31,23
